what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376148442923
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1376148443999
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1376148444057
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1376148444077
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1376148444097
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148449960
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148458580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376148462157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1376148465616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376148467261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376148474448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1376148476362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148481922
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1376148482014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148484791
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376148488062
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1376148489331
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1376148489338
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1376148489425
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1376148489685
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.2.v201103270854,"org.eclipse.jst.ws.jaxws.ui",1376148489762
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1376148496372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1376148523577
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376148524925
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1376148530727
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1376148531103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1376148533686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148535389
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1376148535464
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148540967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148544402
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1376148544473
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376148546237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148553688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1376148556662
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1376148558193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148558568
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148558910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148559028
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148588368
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1376148593705
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1376148601045
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148620177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148622740
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148623313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148644003
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1376148644027
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148658815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376148679885
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1376148681709
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1376148721386
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376148724395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376148727069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1376148739451
