what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375205536876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205538344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205551282
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205554056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205637139
activated,editor,org.eclipse.jst.pagedesigner,1.3.2.v201101211220-p002,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1375205646234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1375205649216
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205651163
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205652760
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1375205655436
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1375205662111
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1375205669628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375205814611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1375205825322
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1375205827052
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375205898090
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205901752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205959332
activated,editor,org.eclipse.jst.pagedesigner,1.3.2.v201101211220-p002,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1375205962342
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205982542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375205987068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1375206074849
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1375206076683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1375206079729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375206088772
activated,editor,org.eclipse.wst.jsdt.ui,1.1.7.v201109150205,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1375206091302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375206100968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206103575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206188025
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1375206198287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1375206201423
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375206206599
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1375206227157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1375206229815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375206234324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206237351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206239126
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206240762
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206255679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375206261946
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206263712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206312247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206315722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1375206516993
activated,editor,org.eclipse.jst.pagedesigner,1.3.2.v201101211220-p002,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1375206524415
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1375206551827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1375206553097
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1375206565592
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1375206572442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375206575755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375206582964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375206656602
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1375206665152
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1375206665430
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1375206670711
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1375206685913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1375206688970
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1375206703868
