what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1376237666411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376237668010
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376237670057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376237685566
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1376237687561
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1376237688192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1376237688982
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376237690714
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1376237693311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376237696982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376237719631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376237727045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376237734626
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1376237738580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1376237740054
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376237746079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376237747694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376237988425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376237995998
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376240904273
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1376240909291
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376240910395
