what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1376217452250
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376217454079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217471180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217480308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1376217482826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376217487048
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217488220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217494079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1376217497224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217501660
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217501935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376217503275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217504224
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217513508
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376217518704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217520203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217528378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217530192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217636716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217646079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217679798
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376217690324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376217691857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217693427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217758061
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1376217771103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376217772830
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217775308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376217864937
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1376217865006
activated,editor,org.eclipse.jst.pagedesigner,1.3.2.v201101211220-p002,"org.eclipse.jst.pagedesigner.PageDesignerEditor",1376217971557
activated,editor,org.eclipse.wst.css.ui,1.0.502.v201101122002,"org.eclipse.wst.css.core.csssource.source",1376217971797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376217981710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376217983549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218030220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218044262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218051351
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218063251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218070420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218149123
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376218154272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218156677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218174816
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1376218178153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1376218179238
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1376218193387
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376218194794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218195881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218197164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218198007
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218202815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1376218207792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1376218209129
